Product_name,Price,PricePer100g,Weight,Text
Naturals,1.69,1.54,110,"mit Meersalz & Pfeffer unverfälschter Genuss mit natürlichen Zutaten ohne künstliche Aromen ohne Konservierungsstoffe und ohne Gluten der pure Genuss werden mit rein natürlichen Zutaten hergestellt das Reinheitsgebot die speziellen Kartoffelsorten für beziehen wir nur aus unserem eigenen Vertragsanbau dieser wird streng und regelmäßig kontrolliert mit der Schale werden die Kartoffeln in wertvollem Sonnenblumenöl schonend gebacken mit den besten ausgesuchten Gewürzen ohne Konservierungsstoffe, ohne künstliche Aromen und Farbstoffe werden zum unverfälschten Genuss Kartoffelchips in Schale geröstet mit Meersalz und Pfeffer glutenfrei Qualitäts-Garantie kontrollierte Markenqualität beste Zutaten ohne Konservierungsstoffe werden mit größter Sorgfalt und ohne Konservierungsstoffe hergestellt jede Packung verlässt das Werk in höchster Qualität"
Dorfchips,0.99,0.57,175,"aus der Heimat Sorte Salz Garantie kontrollierte Qualität und kontrollierter Kartoffelanbau Wochenmarkt ist jetzt täglich mit den hochwertigen Lebensmitteln von entdecken Sie ein frisches, natürliches Lebensmittel hoher Qualität die Verarbeitung der erfolgt mit besten Zutaten und größter Sorgfalt von deutschen Herstellern so gut wie vom Wochenmarkt Kartoffelchips Salz"
Küstengold,0.99,0.5,200,"Salz Chips Salz-Chips ist ein Lebensmittel ausgewählter Produzenten dabei achten wir bei der Verarbeitung auf garantierte Frische und beste Zutaten für die Menschen von hier Salz-Chips Kartoffelchips mit Salz gemäß Prüfungen durch"
HofChips,1.99,1.81,110,"aus besten deutschen Anbauregionen Sauerrahm & Schnittlauch ländlich-rustikal gewürzt knusprig im Kessel geröstet aus besten deutschen Anbauregionen Sauerrahm & Schnittlauch wir von arbeiten partnerschaftlich mit Landwirten aus den Regionen Lüneburger Heide, Oberpfalz und Niederbayern zusammen diese ernten für uns beste Kartoffeln, die unsere so lecker machen die Kartoffeln werden sorgfältig gewaschen, samt Schale in dünne Scheiben geschnitten, im Kessel mit Sonnenblumenöl geröstet und ländlich-rustikal gewürzt dadurch bekommen sie ihren unverwechselbaren Geschmack glutenfrei Kartoffelchips in Schale geröstet mit Sauerrahm- und Schnittlauch-Würzung"
Lays,1.59,0.91,175,"Hot & Spicy die Nr 1 Chips-Marke der Welt mit großartig schmeckenden Chips für ein fantastisches Geschmackserlebnis bei der Herstellung unserer Chips gehen wir sehr sorgfältig vor wir wählen nur die besten Zutaten aus, backen schonend für eine besondere Knusprigkeit und würzen in einer breiten Vielfalt von klassischen bis hin zu intensiveren und überraschenden Geschmacksrichtungen Chips, perfekt um sie mit Freunden und der Familie zu teilen Chips die perfekte Balance aus Knusprigkeit und leckerem Geschmack Nr 1 Chips-Marke der Welt Kartoffelchips scharf gewürzt"
KrosseKerle,1.99,1.73,115,"seit 2010 Salz & Pfeffer mit Herz und Verstand vom Landwirt selbst hergestellt glutenfrei Vegetarier geeignet das sind Cousins und Landwirte aus Leidenschaft mit einer ganz besonderen Liebe für Kartoffeln und für die die extrakrossen Landkartoffelchips aus eigener Produktion Schritt für Schritt werden sie direkt auf dem familieneigenen Kartoffelhof hergestellt dass die Kartoffeln dabei aus eigenem Anbau stammen, ist Ehrensache schließlich herrscht auf dem Hof Reiseverbot zumindest für die Kartoffeln, denn die kommen nicht weiter als mit seinem Traktor fahren würde - vom Acker bis zum Hof und das ist gut so einfach krossartig die werden direkt auf Johannings Kartoffelhof hergestellt bei der Produktion stehen die Sicherheit und Gesundheit der Menschen, der Umwelt sowie der Schutz der natürlichen Ressourcen an oberster Stelle dieses und unsere Erfahrung im Kartoffelanbau in 3. Generation garantieren beste Qualität Kartoffelchips in Schale geröstet mit Salz & Pfeffer"
Chipsfrisch,1.29,0.57,175,"gesalzen nur beste Zutaten beste Kartoffeln reines Sonnenblumenöl purer Geschmack unsere gesalzen der pure Genuss oft sind die einfachen Dinge die Besten - wie unsere gesalzen für sie verwenden wir ausgesuchte Kartoffeln und wertvolles Sonnenblumenöl und das Ganze verfeinern wir mit Salz mehr braucht es nicht einfach, ehrlich, pur zum puren Geschmack gibt es die Knusprigkeit wir schneiden unsere Kartoffelscheiben hauchdünn erst das macht unsere zum legendären Genuss unsere Kartoffeln kommen ausschließlich von ausgesuchten Vertragsbauern wir verwenden reines Sonnenblumenöl ohne Zusatz von geschmacksverstärkenden Zusatzstoffen glutenfrei für Vegetarier geeignet Kartoffelchips"
Crunchips,1.29,0.74,175,"salted wo ist, ist Party it's party time einfach aufreißen und loscrunchen so gut, die musst du einfach teilen qualitäts-garantie kontrollierte Markenqualität beste Zutaten ohne Konservierungsstoffe werden mit größter Sorgfalt aus ausgewählten Zutaten hergestellt"
KettleChips,1.99,1.33,150,"hand cooked sea salt traditional hand cooked potato chips hand cooked potato chips, sea salt good to know our chips are hand cooked with care in small batches we season our chips with real food ingredients and never use artificial flavors and colors we only cook our chips in sunflower oil are sliced thicker for that unique crunch"
JedenTagChips,0.69,0.35,200,"Chips Kartoffelchips mit Paprika in 100% Sonnenblumenöl gebacken Chips Kartoffelchips mit Paprikawürzung"
ClarkysKesselChips,0.89,0.59,150,"enjoy the taste Kessel Chips salt & vinegar ohne Geschmacksverstärker dicke Scheiben - extra knusprig enjoy the taste Kessel chips salt & vinegar das Außergewöhnliche der Kesselchips ist ihr krosser Biss dazu werden extra dicke Kartoffelscheiben bei niedrigen Temperaturen besonders lang geröstet und mit einer raffinierten Würzung abgerundet Kartoffelchips in Schale geröstet mit Salz und Essig-Geschmack ohne Hefeextrakt"
CrustiCroc,0.89,0.45,200,"Salz Kartoffeln aus Deutschland verwendet werden ausschließlich erlesene Kartoffeln, die einer ständigen Qualifikationskontrolle unterliegen die feinen Kartoffelscheiben werden in hochwertigen High-Oleic-Sonnenblumenöl ausgebacken, das von Natur aus einen hohen Anteil an ungesättigten Fettsäuren hat Kartoffelchips mit Speisesalz"
FeurichGourmet,0.79,0.63,125,"Gourmet Kartoffelchips Meersalz & Pfeffer für dieses Gourmet-Produkt verwenden wir nur erstklassige Zutaten und achten auf feinste Zubereitung reines Sonnenblumenöl mit Schale gebacken Gourmet Kartoffelchips Meersalz & Pfeffer mit Schale in reinem Sonnenblumenöl ausgewählte Kartoffeln aus kontrolliertem Anbau feinste Würzmischung Kartoffelchips mit Schale frittiert Meersalz & Pfeffer"
Trafo,1.79,1.43,125,"bio-organic snacks bio organic potato chips natural natürlich lecker unsere Bio Kartoffel Chips werden in unserem Familienbetrieb nach alter Tradition gebacken wir verwenden nur die besten Kartoffelsorten, die in fruchtbaren Boden biologisch angebaut werden dabei bevorzugen wir regionale Kartoffeln aus den Niederlanden oder Deutschland wir verwenden zu 100% ungehärtetes biologisches Sonnenblumenöl bio-organic snacks Kartoffelchips aus kontrolliert biologischem Anbau this product is gluten free"
HandCookedChips,2.29,1.82,125,"thick cut bio-organic hand cooked chips seasalt slow and longer fried than regular chips low temperature, fried at max 165 degrees more bite and taste handgefertigte Chips gesalzen"
DeRit,2.49,1.99,125,"aus besten Anbaugebieten Kartoffelchips schonend mit Schale gebacken Meersalz für unsere knusprigen Kartoffelchips verwenden wir feinste Kartoffelsorten aus kontrolliert biologischem Anbau in hochwertigem kaltgepressten High Oleic Sonnenblumenöl (von Natur aus reich an einfach ungesättigten Fettsäuren) werden die Chips schonend in der Schale gebacken verfeinert mit einer Prise Meersalz ein knuspriger Knabbergenuss aus kontrolliert biologischem Anbau Kartoffelchips mit Meersalz"
FeurichChips,0.69,0.35,200,"Chips Paprika Geschmack Kartoffelchips mit Paprika-Geschmack Chips Paprika Geschmack"
Tyrrells,2.29,1.53,150,"hand-cooked English crisps sea salt and black pepper best ever recipe hand-cooked English crisps sea salt and cracked black pepper a time-honoured marriage: sea salt and that most cracking of spices they're made with the finest local potatoes, complete with jackets, hand-cooked in small batches and spun to achieve our signature crunch Kartoffelchips gewürzt mit Meersalz und grob gemahlenem schwarzen Pfeffer gluten free suitable for vegans no artificial ingredients England Rugby Official Crisp"
JA,0.69,0.35,200,"Kartoffelchips mit Paprika-Geschmack Kartoffel-Chips mit Paprikageschmack"
Chio,1.99,1,200,"red Paprika Chips mit reinem Sonnenblumenöl ausgewählte Gewürze das Qualitätsversprechen für Premium Genuss - beste Zutaten ohne geschmacksverstärkende Zusatzstoffe ohne künstliche Farbstoffe beste Kartoffeln aus kontrolliertem Anbau reines Sonnenblumenöl unvergleichliche Gewürzrezepturen für den einzigartigen Geschmack für Vegetarier geeignet glutenfrei Kartoffelchips mit Paprika-Geschmack"
WorldOfChips,0.79,0.64,125,"Chips Meersalz und Pfeffer potato crisps knusprige Kartoffelchips mit Meersalz & Pfeffer"
Classic,0.89,0.6,150,"Kesselchips mit Schale gebacken kross und knusprig im Kessel gebacken salt & vinegar mit Sonnenblumenöl Kesselchips Kartoffelchips mit Schale gebacken, mit Salz- und Essiggeschmack unsere Zufriedenheitsgarantie ist Qualität - garantiert das Geheimnis unserer knusprigen Kesselchips liegt in ihrem Herstellungsverfahren für unsere Chips werden ausgesuchte Kartoffeln verwendet und inklusive Schale besonders dick geschnitten im Kessel backen sie ausschließlich in Sonnenblumenöl und werden noch von Hand gerührt der unvergleichliche Geschmack der Kesselchips kommt durch ihre feine Würzung Kesselchips - ein besonderer Genuss mit wertvollem Sonnenblumenöl legt bei seinen Produkten Wert auf ausgesuchte Zutaten, die regelmäßig kontrolliert werden für die Herstellung der Kesselchips wird Sonnenblumenöl eingesetzt dieses ist von Natur aus reich an ungesättigten Fettsäuren"
Lisas,1.99,1.81,110,"Bio Kesselchips Rosmarin & Meersalz Craft chips Bio Kesselchips handgekochte Chips mit Charakter wir kochen unsere Chips im Kessel und verwenden dafür nur die besten Zutaten Bio glutenfrei vegan Rohstoffe aus kontrolliert biologischem Anbau hergestellt in Deutschland Bio-Kartoffelchips mit Rosmarin und Meersalz gekocht von David in Kessel Nr 4"
GutUndGünstigChips,0.69,0.35,200,"gut & günstig Chips Paprika mit Sonnenblumenöl goldener Preis 2017 gut & günstig Chips Paprika Kartoffelchips mit Paprikageschmack"
GutUndGünstigKessel,0.89,0.59,150,"gut & günstig Kessel Chips knusprig im Kessel frittiert sea salt & vinegar extra dicke Scheiben goldener Preis 2017 gut & günstig Kessel Chips sea salt & vinegar das Außergewöhnliche der gut & günstig Kesselchips ist ihr besonders krosser Biss, der Chipsfans begeistert dazu werden extra dicke Kartoffelscheiben bei niedrigen Temperaturen besonders lang frittiert, bis sie wunderbar knusprig sind zusammen mit der raffinierten Würzung entsteht so ein intensives und sehr knuspriges Geschmackserlebnis ohne Hefeextrakt Kartoffelchips in Schale geröstet mit Meersalz und Essig-Geschmack im Kessel frittiert extra knusprig durch dicke Scheiben"
